bin_center,bin_min,bin_max,count,frequency
0.5499999999999696,0.4999999999999698,0.5999999999999694,606,0.004150656502352724
0.6499999999999693,0.5999999999999694,0.6999999999999691,421,0.002883541893548674
0.7499999999999689,0.6999999999999691,0.7999999999999687,337,0.002308203368470079
0.8499999999999686,0.7999999999999687,0.8999999999999684,248,0.0016986185026129958
0.9499999999999682,0.8999999999999684,0.999999999999968,170,0.0011643755864685858
1.0499999999999678,0.999999999999968,1.0999999999999677,142,0.000972596078109054
1.1499999999999675,1.0999999999999677,1.1999999999999673,96,0.0006575297429469661
1.2499999999999671,1.1999999999999673,1.299999999999967,69,0.0004725995027431319
1.3499999999999668,1.299999999999967,1.3999999999999666,84,0.0005753385250785954
1.4499999999999664,1.3999999999999666,1.4999999999999662,68,0.00046575023458743435
1.549999999999966,1.4999999999999662,1.599999999999966,75,0.0005136951116773172
1.6499999999999657,1.599999999999966,1.6999999999999655,62,0.00042465462565324894
1.7499999999999654,1.6999999999999655,1.7999999999999652,44,0.0003013677988506928
1.849999999999965,1.7999999999999652,1.8999999999999648,48,0.00032876487147348306
1.9499999999999647,1.8999999999999648,1.9999999999999645,60,0.0004109560893418538
2.0499999999999643,1.9999999999999645,2.099999999999964,37,0.0002534229217608099
2.149999999999964,2.099999999999964,2.1999999999999638,27,0.00018493024020383423
2.2499999999999636,2.1999999999999638,2.2999999999999634,41,0.0002808199943836001
2.3499999999999632,2.2999999999999634,2.399999999999963,28,0.0001917795083595318
2.449999999999963,2.399999999999963,2.4999999999999627,26,0.00017808097204813665
2.5499999999999625,2.4999999999999627,2.5999999999999623,25,0.0001712317038924391
2.649999999999962,2.5999999999999623,2.699999999999962,25,0.0001712317038924391
2.749999999999962,2.699999999999962,2.7999999999999616,19,0.0001301360949582537
2.8499999999999615,2.7999999999999616,2.8999999999999613,27,0.00018493024020383423
2.949999999999961,2.8999999999999613,2.999999999999961,10,6.849268155697563e-05
3.0499999999999607,2.999999999999961,3.0999999999999606,18,0.00012328682680255615
3.1499999999999604,3.0999999999999606,3.19999999999996,20,0.00013698536311395126
3.24999999999996,3.19999999999996,3.29999999999996,19,0.0001301360949582537
3.3499999999999597,3.29999999999996,3.3999999999999595,14,9.58897541797659e-05
3.4499999999999593,3.3999999999999595,3.499999999999959,16,0.00010958829049116101
3.549999999999959,3.499999999999959,3.599999999999959,15,0.00010273902233546346
3.6499999999999586,3.599999999999959,3.6999999999999584,15,0.00010273902233546346
3.7499999999999583,3.6999999999999584,3.799999999999958,14,9.58897541797659e-05
3.849999999999958,3.799999999999958,3.8999999999999577,12,8.219121786837076e-05
3.9499999999999575,3.8999999999999577,3.9999999999999574,17,0.00011643755864685859
4.049999999999957,3.9999999999999574,4.099999999999957,15,0.00010273902233546346
4.149999999999957,4.099999999999957,4.199999999999957,14,9.58897541797659e-05
4.2499999999999565,4.199999999999957,4.299999999999956,13,8.904048602406832e-05
4.349999999999956,4.299999999999956,4.399999999999956,16,0.00010958829049116101
4.449999999999956,4.399999999999956,4.499999999999956,12,8.219121786837076e-05
4.549999999999955,4.499999999999956,4.599999999999955,14,9.58897541797659e-05
4.649999999999955,4.599999999999955,4.699999999999955,7,4.794487708988295e-05
4.749999999999955,4.699999999999955,4.7999999999999545,14,9.58897541797659e-05
4.849999999999954,4.7999999999999545,4.899999999999954,8,5.479414524558051e-05
4.949999999999954,4.899999999999954,4.999999999999954,9,6.164341340127807e-05
5.049999999999954,4.999999999999954,5.0999999999999535,7,4.794487708988295e-05
5.149999999999953,5.0999999999999535,5.199999999999953,7,4.794487708988295e-05
5.249999999999953,5.199999999999953,5.299999999999953,8,5.479414524558051e-05
5.349999999999953,5.299999999999953,5.399999999999952,7,4.794487708988295e-05
5.449999999999952,5.399999999999952,5.499999999999952,9,6.164341340127807e-05
5.549999999999952,5.499999999999952,5.599999999999952,10,6.849268155697563e-05
5.6499999999999515,5.599999999999952,5.699999999999951,6,4.109560893418538e-05
5.749999999999951,5.699999999999951,5.799999999999951,3,2.054780446709269e-05
5.849999999999951,5.799999999999951,5.899999999999951,8,5.479414524558051e-05
